"item" "cond" "region" "subj" "expt" "rt" "region.id" "region2" "probs" "dist.exp" "dist.noexp" "exp" "dist" "int" "lrt"
"594" 12 "b" "CPLightVerb" 3 "CP1" 547 4 "crit" 1 1 0 1 1 1 6.30444880242198
"596" 12 "b" "CPLightVerb" 7 "CP1" 531 4 "crit" 1 1 0 1 1 1 6.27476202124194
"598" 12 "b" "CPLightVerb" 43 "CP1" 641 4 "crit" 1 1 0 1 1 1 6.46302945692067
"602" 12 "b" "CPLightVerb" 27 "CP1" 500 4 "crit" 1 1 0 1 1 1 6.21460809842219
"606" 12 "b" "CPLightVerb" 55 "CP1" 453 4 "crit" 1 1 0 1 1 1 6.11589212548303
"608" 12 "b" "CPLightVerb" 51 "CP1" 1672 4 "crit" 1 1 0 1 1 1 7.42177579364465
"611" 12 "b" "CPLightVerb" 59 "CP1" 641 4 "crit" 1 1 0 1 1 1 6.46302945692067
"612" 12 "b" "CPLightVerb" 47 "CP1" 328 4 "crit" 1 1 0 1 1 1 5.79301360838414
"613" 12 "b" "CPLightVerb" 39 "CP1" 375 4 "crit" 1 1 0 1 1 1 5.92692602597041
"618" 12 "b" "CPLightVerb" 31 "CP1" 453 4 "crit" 1 1 0 1 1 1 6.11589212548303
"630" 12 "b" "CPLightVerb" 19 "CP1" 1172 4 "crit" 1 1 0 1 1 1 7.06646697013696
"631" 12 "c" "MainVerb" 24 "CP1" 1359 4 "crit" 0.1 0 -1 -1 -1 1 7.21450441415114
"632" 12 "c" "MainVerb" 60 "CP1" 750 4 "crit" 0.1 0 -1 -1 -1 1 6.62007320653036
"633" 12 "c" "MainVerb" 32 "CP1" 688 4 "crit" 0.1 0 -1 -1 -1 1 6.53378883793334
"638" 12 "c" "MainVerb" 28 "CP1" 531 4 "crit" 0.1 0 -1 -1 -1 1 6.27476202124194
"640" 12 "c" "MainVerb" 4 "CP1" 969 4 "crit" 0.1 0 -1 -1 -1 1 6.87626461189077
"641" 12 "c" "MainVerb" 12 "CP1" 2031 4 "crit" 0.1 0 -1 -1 -1 1 7.61628356158038
"644" 12 "c" "MainVerb" 48 "CP1" 813 4 "crit" 0.1 0 -1 -1 -1 1 6.70073110954781
"654" 12 "c" "MainVerb" 52 "CP1" 1438 4 "crit" 0.1 0 -1 -1 -1 1 7.27100853828099
"655" 12 "c" "MainVerb" 40 "CP1" 1203 4 "crit" 0.1 0 -1 -1 -1 1 7.09257371597468
"661" 12 "c" "MainVerb" 44 "CP1" 859 4 "crit" 0.1 0 -1 -1 -1 1 6.75576892198425
"662" 12 "c" "MainVerb" 56 "CP1" 937 4 "crit" 0.1 0 -1 -1 -1 1 6.84268328223842
"663" 12 "c" "MainVerb" 36 "CP1" 734 4 "crit" 0.1 0 -1 -1 -1 1 6.59850902861452
"669" 12 "c" "MainVerb" 8 "CP1" 484 4 "crit" 0.1 0 -1 -1 -1 1 6.18208490671663
"671" 12 "c" "MainVerb" 20 "CP1" 2703 4 "crit" 0.1 0 -1 -1 -1 1 7.90211754627645
"675" 12 "c" "MainVerb" 16 "CP1" 828 4 "crit" 0.1 0 -1 -1 -1 1 6.71901315438526
"677" 12 "d" "MainVerb" 49 "CP1" 438 4 "crit" 0.1 0 1 -1 1 -1 6.08221891037645
"681" 12 "d" "MainVerb" 29 "CP1" 1922 4 "crit" 0.1 0 1 -1 1 -1 7.56112158953024
"684" 12 "d" "MainVerb" 33 "CP1" 469 4 "crit" 0.1 0 1 -1 1 -1 6.15060276844628
"685" 12 "d" "MainVerb" 13 "CP1" 578 4 "crit" 0.1 0 1 -1 1 -1 6.35957386867238
"686" 12 "d" "MainVerb" 53 "CP1" 453 4 "crit" 0.1 0 1 -1 1 -1 6.11589212548303
"691" 12 "d" "MainVerb" 9 "CP1" 2125 4 "crit" 0.1 0 1 -1 1 -1 7.66152708135852
"692" 12 "d" "MainVerb" 57 "CP1" 594 4 "crit" 0.1 0 1 -1 1 -1 6.38687931936265
"696" 12 "d" "MainVerb" 25 "CP1" 437 4 "crit" 0.1 0 1 -1 1 -1 6.07993319509559
"702" 12 "d" "MainVerb" 17 "CP1" 3016 4 "crit" 0.1 0 1 -1 1 -1 8.01168672912785
"710" 12 "d" "MainVerb" 41 "CP1" 390 4 "crit" 0.1 0 1 -1 1 -1 5.96614673912369
